"resolution","score","stat","analysis","genotype_form","correlation","p_value"
1,"CV_t","min","global","combined",-0.305696202531646,0.001
1,"CV_t","max","global","combined",-0.0455696202531646,0.586
1,"CV_t","mean","global","combined",-0.187341772151899,0.014
1,"CV_t","median","global","combined",-0.187341772151899,0.012
1,"CV_t","slope","global","combined",-0.486708860759494,0.001
1,"CV_t","range","global","combined",0.838607594936709,0.001
1,"CV_t","variance","global","combined",0.838607594936709,0.001
1,"CV_t","mean_lower","global","combined",-0.108227848101266,0.159
1,"CV_t","mean_upper","global","combined",-0.237341772151899,0.001
1,"RN","min","global","combined",0.174683544303797,0.019
1,"RN","max","global","combined",0.0183544303797468,0.812
1,"RN","mean","global","combined",0.104430379746835,0.173
1,"RN","median","global","combined",0.104430379746835,0.172
1,"RN","slope","global","combined",1,0.001
1,"RN","range","global","combined",-0.560759493670886,0.001
1,"RN","variance","global","combined",-0.560759493670886,0.001
1,"RN","mean_lower","global","combined",-0.079746835443038,0.345
1,"RN","mean_upper","global","combined",0.256962025316456,0.002
1,"RNN","min","global","combined",NA,NA
1,"RNN","max","global","combined",NA,NA
1,"RNN","mean","global","combined",NA,NA
1,"RNN","median","global","combined",NA,NA
1,"RNN","slope","global","combined",NA,NA
1,"RNN","range","global","combined",NA,NA
1,"RNN","variance","global","combined",NA,NA
1,"RNN","mean_lower","global","combined",NA,NA
1,"RNN","mean_upper","global","combined",NA,NA
1,"D_slope","min","global","combined",-0.144303797468354,0.06
1,"D_slope","max","global","combined",0.115822784810127,0.119
1,"D_slope","mean","global","combined",-0.0259493670886076,0.73
1,"D_slope","median","global","combined",-0.0259493670886076,0.736
1,"D_slope","slope","global","combined",-0.560759493670886,0.001
1,"D_slope","range","global","combined",1,0.001
1,"D_slope","variance","global","combined",1,0.001
1,"D_slope","mean_lower","global","combined",0.0455696202531646,0.556
1,"D_slope","mean_upper","global","combined",-0.0784810126582278,0.301
1,"RC","min","global","combined",-0.305696202531646,0.001
1,"RC","max","global","combined",-0.0455696202531646,0.541
1,"RC","mean","global","combined",-0.187341772151899,0.018
1,"RC","median","global","combined",-0.187341772151899,0.014
1,"RC","slope","global","combined",-0.486708860759494,0.001
1,"RC","range","global","combined",0.838607594936709,0.001
1,"RC","variance","global","combined",0.838607594936709,0.001
1,"RC","mean_lower","global","combined",-0.108227848101266,0.17
1,"RC","mean_upper","global","combined",-0.237341772151899,0.002
1,"gPi","min","global","combined",-0.305696202531646,0.001
1,"gPi","max","global","combined",-0.0455696202531646,0.552
1,"gPi","mean","global","combined",-0.187341772151899,0.013
1,"gPi","median","global","combined",-0.187341772151899,0.019
1,"gPi","slope","global","combined",-0.486708860759494,0.001
1,"gPi","range","global","combined",0.838607594936709,0.001
1,"gPi","variance","global","combined",0.838607594936709,0.001
1,"gPi","mean_lower","global","combined",-0.108227848101266,0.165
1,"gPi","mean_upper","global","combined",-0.237341772151899,0.005
1,"PPF","min","global","combined",-0.286708860759494,0.001
1,"PPF","max","global","combined",-0.0278481012658228,0.731
1,"PPF","mean","global","combined",-0.169620253164557,0.025
1,"PPF","median","global","combined",-0.169620253164557,0.024
1,"PPF","slope","global","combined",-0.462658227848101,0.001
1,"PPF","range","global","combined",0.85,0.001
1,"PPF","variance","global","combined",0.85,0.001
1,"PPF","mean_lower","global","combined",-0.104430379746835,0.163
1,"PPF","mean_upper","global","combined",-0.217088607594937,0.003
1,"PPi","min","global","combined",-0.305696202531646,0.001
1,"PPi","max","global","combined",-0.0455696202531646,0.558
1,"PPi","mean","global","combined",-0.187341772151899,0.012
1,"PPi","median","global","combined",-0.187341772151899,0.018
1,"PPi","slope","global","combined",-0.486708860759494,0.001
1,"PPi","range","global","combined",0.838607594936709,0.001
1,"PPi","variance","global","combined",0.838607594936709,0.001
1,"PPi","mean_lower","global","combined",-0.108227848101266,0.138
1,"PPi","mean_upper","global","combined",-0.237341772151899,0.001
1,"PImd","min","global","combined",-0.305696202531646,0.001
1,"PImd","max","global","combined",-0.0455696202531646,0.541
1,"PImd","mean","global","combined",-0.187341772151899,0.014
1,"PImd","median","global","combined",-0.187341772151899,0.012
1,"PImd","slope","global","combined",-0.486708860759494,0.001
1,"PImd","range","global","combined",0.838607594936709,0.001
1,"PImd","variance","global","combined",0.838607594936709,0.001
1,"PImd","mean_lower","global","combined",-0.108227848101266,0.151
1,"PImd","mean_upper","global","combined",-0.237341772151899,0.002
1,"PILSM","min","global","combined",-0.305696202531646,0.001
1,"PILSM","max","global","combined",-0.0455696202531646,0.524
1,"PILSM","mean","global","combined",-0.187341772151899,0.016
1,"PILSM","median","global","combined",-0.187341772151899,0.017
1,"PILSM","slope","global","combined",-0.486708860759494,0.001
1,"PILSM","range","global","combined",0.838607594936709,0.001
1,"PILSM","variance","global","combined",0.838607594936709,0.001
1,"PILSM","mean_lower","global","combined",-0.108227848101266,0.153
1,"PILSM","mean_upper","global","combined",-0.237341772151899,0.002
1,"RTR","min","global","combined",0.272151898734177,0.001
1,"RTR","max","global","combined",0.115822784810127,0.105
1,"RTR","mean","global","combined",0.201898734177215,0.007
1,"RTR","median","global","combined",0.201898734177215,0.007
1,"RTR","slope","global","combined",0.888607594936709,0.001
1,"RTR","range","global","combined",-0.463291139240506,0.001
1,"RTR","variance","global","combined",-0.463291139240506,0.001
1,"RTR","mean_lower","global","combined",0.0177215189873418,0.814
1,"RTR","mean_upper","global","combined",0.354430379746835,0.001
