"resolution","score","stat","analysis","genotype_form","correlation","p_value","indices"
10,"CV_t","min","global","combined",-0.463291139240506,0.001,1
10,"CV_t","min","global","combined",-0.463291139240506,0.001,11
10,"CV_t","min","global","combined",-0.463291139240506,0.001,21
10,"CV_t","min","global","combined",-0.463291139240506,0.001,31
10,"CV_t","min","global","combined",-0.463291139240506,0.001,41
10,"CV_t","min","global","combined",-0.463291139240506,0.001,50
10,"CV_t","max","global","combined",-0.181645569620253,0.016,1
10,"CV_t","max","global","combined",-0.181645569620253,0.016,11
10,"CV_t","max","global","combined",-0.181645569620253,0.016,21
10,"CV_t","max","global","combined",-0.181645569620253,0.016,31
10,"CV_t","max","global","combined",-0.181645569620253,0.016,41
10,"CV_t","max","global","combined",-0.181645569620253,0.016,50
10,"CV_t","mean","global","combined",-0.348101265822785,0.001,1
10,"CV_t","mean","global","combined",-0.348101265822785,0.001,11
10,"CV_t","mean","global","combined",-0.348101265822785,0.001,21
10,"CV_t","mean","global","combined",-0.348101265822785,0.001,31
10,"CV_t","mean","global","combined",-0.348101265822785,0.001,41
10,"CV_t","mean","global","combined",-0.348101265822785,0.001,50
10,"CV_t","median","global","combined",-0.335443037974684,0.001,1
10,"CV_t","median","global","combined",-0.335443037974684,0.001,11
10,"CV_t","median","global","combined",-0.335443037974684,0.001,21
10,"CV_t","median","global","combined",-0.335443037974684,0.001,31
10,"CV_t","median","global","combined",-0.335443037974684,0.001,41
10,"CV_t","median","global","combined",-0.335443037974684,0.001,50
10,"CV_t","slope","global","combined",-0.127848101265823,0.076,1
10,"CV_t","slope","global","combined",-0.127848101265823,0.076,11
10,"CV_t","slope","global","combined",-0.127848101265823,0.076,21
10,"CV_t","slope","global","combined",-0.127848101265823,0.076,31
10,"CV_t","slope","global","combined",-0.127848101265823,0.076,41
10,"CV_t","slope","global","combined",-0.127848101265823,0.076,50
10,"CV_t","range","global","combined",0.672784810126582,0.001,1
10,"CV_t","range","global","combined",0.672784810126582,0.001,11
10,"CV_t","range","global","combined",0.672784810126582,0.001,21
10,"CV_t","range","global","combined",0.672784810126582,0.001,31
10,"CV_t","range","global","combined",0.672784810126582,0.001,41
10,"CV_t","range","global","combined",0.672784810126582,0.001,50
10,"CV_t","variance","global","combined",0.664556962025316,0.001,1
10,"CV_t","variance","global","combined",0.664556962025316,0.001,11
10,"CV_t","variance","global","combined",0.664556962025316,0.001,21
10,"CV_t","variance","global","combined",0.664556962025316,0.001,31
