"resolution","score","stat","analysis","genotype_form","correlation","p_value"
49,"CV_t","min","global","combined",-0.359493670886076,0.001
49,"CV_t","max","global","combined",-0.0120253164556962,0.894
49,"CV_t","mean","global","combined",-0.205696202531646,0.006
49,"CV_t","median","global","combined",-0.205696202531646,0.007
49,"CV_t","slope","global","combined",-0.434810126582278,0.001
49,"CV_t","range","global","combined",0.828481012658228,0.001
49,"CV_t","variance","global","combined",0.828481012658228,0.001
49,"CV_t","mean_lower","global","combined",-0.139873417721519,0.059
49,"CV_t","mean_upper","global","combined",-0.220886075949367,0.002
49,"RN","min","global","combined",0.185443037974684,0.018
49,"RN","max","global","combined",0.0772151898734177,0.296
49,"RN","mean","global","combined",0.146835443037975,0.05
49,"RN","median","global","combined",0.146835443037975,0.061
49,"RN","slope","global","combined",1,0.001
49,"RN","range","global","combined",-0.5,0.001
49,"RN","variance","global","combined",-0.5,0.001
49,"RN","mean_lower","global","combined",-0.0873417721518987,0.268
49,"RN","mean_upper","global","combined",0.335443037974684,0.001
49,"RNN","min","global","combined",NA,NA
49,"RNN","max","global","combined",NA,NA
49,"RNN","mean","global","combined",NA,NA
49,"RNN","median","global","combined",NA,NA
49,"RNN","slope","global","combined",NA,NA
49,"RNN","range","global","combined",NA,NA
49,"RNN","variance","global","combined",NA,NA
49,"RNN","mean_lower","global","combined",NA,NA
49,"RNN","mean_upper","global","combined",NA,NA
49,"D_slope","min","global","combined",-0.187974683544304,0.014
49,"D_slope","max","global","combined",0.159493670886076,0.044
49,"D_slope","mean","global","combined",-0.0341772151898734,0.667
49,"D_slope","median","global","combined",-0.0341772151898734,0.653
49,"D_slope","slope","global","combined",-0.5,0.001
49,"D_slope","range","global","combined",1,0.001
49,"D_slope","variance","global","combined",1,0.001
49,"D_slope","mean_lower","global","combined",0.0177215189873418,0.815
49,"D_slope","mean_upper","global","combined",-0.0582278481012658,0.429
49,"RC","min","global","combined",-0.359493670886076,0.001
49,"RC","max","global","combined",-0.0120253164556962,0.893
49,"RC","mean","global","combined",-0.205696202531646,0.012
49,"RC","median","global","combined",-0.205696202531646,0.007
49,"RC","slope","global","combined",-0.434810126582278,0.001
49,"RC","range","global","combined",0.828481012658228,0.001
49,"RC","variance","global","combined",0.828481012658228,0.001
49,"RC","mean_lower","global","combined",-0.139873417721519,0.069
49,"RC","mean_upper","global","combined",-0.220886075949367,0.007
49,"gPi","min","global","combined",-0.359493670886076,0.001
49,"gPi","max","global","combined",-0.0120253164556962,0.894
49,"gPi","mean","global","combined",-0.205696202531646,0.009
49,"gPi","median","global","combined",-0.205696202531646,0.012
49,"gPi","slope","global","combined",-0.434810126582278,0.001
49,"gPi","range","global","combined",0.828481012658228,0.001
49,"gPi","variance","global","combined",0.828481012658228,0.001
49,"gPi","mean_lower","global","combined",-0.139873417721519,0.071
49,"gPi","mean_upper","global","combined",-0.220886075949367,0.006
49,"PPF","min","global","combined",-0.345569620253165,0.001
49,"PPF","max","global","combined",-0.00189873417721519,0.981
49,"PPF","mean","global","combined",-0.193037974683544,0.011
49,"PPF","median","global","combined",-0.193037974683544,0.011
49,"PPF","slope","global","combined",-0.405696202531646,0.001
49,"PPF","range","global","combined",0.833544303797468,0.001
49,"PPF","variance","global","combined",0.833544303797468,0.001
49,"PPF","mean_lower","global","combined",-0.14873417721519,0.059
49,"PPF","mean_upper","global","combined",-0.200632911392405,0.009
49,"PPi","min","global","combined",-0.359493670886076,0.001
49,"PPi","max","global","combined",-0.0120253164556962,0.863
49,"PPi","mean","global","combined",-0.205696202531646,0.009
49,"PPi","median","global","combined",-0.205696202531646,0.009
49,"PPi","slope","global","combined",-0.434810126582278,0.001
49,"PPi","range","global","combined",0.828481012658228,0.001
49,"PPi","variance","global","combined",0.828481012658228,0.001
49,"PPi","mean_lower","global","combined",-0.139873417721519,0.059
49,"PPi","mean_upper","global","combined",-0.220886075949367,0.003
49,"PImd","min","global","combined",-0.359493670886076,0.001
49,"PImd","max","global","combined",-0.0120253164556962,0.894
49,"PImd","mean","global","combined",-0.205696202531646,0.01
49,"PImd","median","global","combined",-0.205696202531646,0.006
49,"PImd","slope","global","combined",-0.434810126582278,0.001
49,"PImd","range","global","combined",0.828481012658228,0.001
49,"PImd","variance","global","combined",0.828481012658228,0.001
49,"PImd","mean_lower","global","combined",-0.139873417721519,0.057
49,"PImd","mean_upper","global","combined",-0.220886075949367,0.002
49,"PILSM","min","global","combined",-0.359493670886076,0.001
49,"PILSM","max","global","combined",-0.0120253164556962,0.865
49,"PILSM","mean","global","combined",-0.205696202531646,0.011
49,"PILSM","median","global","combined",-0.205696202531646,0.007
49,"PILSM","slope","global","combined",-0.434810126582278,0.001
49,"PILSM","range","global","combined",0.828481012658228,0.001
49,"PILSM","variance","global","combined",0.828481012658228,0.001
49,"PILSM","mean_lower","global","combined",-0.139873417721519,0.074
