"resolution","score","stat","analysis","genotype_form","correlation","p_value","indices"
10,"CV_t","min","global","combined",-0.374050632911392,0.001,1
10,"CV_t","min","global","combined",-0.374050632911392,0.001,11
10,"CV_t","min","global","combined",-0.374050632911392,0.001,21
10,"CV_t","min","global","combined",-0.374050632911392,0.001,25
10,"CV_t","max","global","combined",-0.19746835443038,0.007,1
10,"CV_t","max","global","combined",-0.19746835443038,0.007,11
10,"CV_t","max","global","combined",-0.19746835443038,0.007,21
10,"CV_t","max","global","combined",-0.19746835443038,0.007,25
10,"CV_t","mean","global","combined",-0.281645569620253,0.001,1
10,"CV_t","mean","global","combined",-0.281645569620253,0.001,11
10,"CV_t","mean","global","combined",-0.281645569620253,0.001,21
10,"CV_t","mean","global","combined",-0.281645569620253,0.001,25
10,"CV_t","median","global","combined",-0.278481012658228,0.001,1
10,"CV_t","median","global","combined",-0.278481012658228,0.001,11
10,"CV_t","median","global","combined",-0.278481012658228,0.001,21
10,"CV_t","median","global","combined",-0.278481012658228,0.001,25
10,"CV_t","slope","global","combined",0.257594936708861,0.003,1
10,"CV_t","slope","global","combined",0.257594936708861,0.003,11
10,"CV_t","slope","global","combined",0.257594936708861,0.003,21
10,"CV_t","slope","global","combined",0.257594936708861,0.003,25
10,"CV_t","range","global","combined",0.708860759493671,0.001,1
10,"CV_t","range","global","combined",0.708860759493671,0.001,11
10,"CV_t","range","global","combined",0.708860759493671,0.001,21
10,"CV_t","range","global","combined",0.708860759493671,0.001,25
10,"CV_t","variance","global","combined",0.709493670886076,0.001,1
10,"CV_t","variance","global","combined",0.709493670886076,0.001,11
10,"CV_t","variance","global","combined",0.709493670886076,0.001,21
10,"CV_t","variance","global","combined",0.709493670886076,0.001,25
10,"CV_t","mean_lower","global","combined",-0.324683544303797,0.001,1
10,"CV_t","mean_lower","global","combined",-0.324683544303797,0.001,11
10,"CV_t","mean_lower","global","combined",-0.324683544303797,0.001,21
10,"CV_t","mean_lower","global","combined",-0.324683544303797,0.001,25
10,"CV_t","mean_upper","global","combined",-0.25253164556962,0.003,1
10,"CV_t","mean_upper","global","combined",-0.25253164556962,0.003,11
10,"CV_t","mean_upper","global","combined",-0.25253164556962,0.003,21
10,"CV_t","mean_upper","global","combined",-0.25253164556962,0.003,25
10,"RN","min","global","combined",-0.020253164556962,0.793,1
10,"RN","min","global","combined",-0.020253164556962,0.793,11
10,"RN","min","global","combined",-0.020253164556962,0.793,21
10,"RN","min","global","combined",-0.020253164556962,0.793,25
10,"RN","max","global","combined",0.0778481012658228,0.332,1
10,"RN","max","global","combined",0.0778481012658228,0.332,11
10,"RN","max","global","combined",0.0778481012658228,0.332,21
10,"RN","max","global","combined",0.0778481012658228,0.332,25
10,"RN","mean","global","combined",0.0481012658227848,0.538,1
10,"RN","mean","global","combined",0.0481012658227848,0.538,11
