method,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI,EVS
CV_t,1,-0.05126582278481013,0.509493670886076,0.6113924050632912,0.9417721518987342,1,0.8721518987341772,0.9189873417721519,0.9189873417721519,0.9189873417721519,-0.09050632911392405,0.85,0.9753164556962025,0.6265822784810127,0.639873417721519,-0.11708860759493671,0.9753164556962025,0.6265822784810127,0.6265822784810127,0.6265822784810127,0.9316455696202531,1,0.9582278481012658,0.5968354430379746,0.8189873417721519,-1,0.6303797468354431
RN,-0.05126582278481013,1,-0.027848101265822784,0.07405063291139241,-0.04240506329113924,-0.05126582278481013,0.07278481012658228,-0.02088607594936709,-0.02088607594936709,-0.02088607594936709,0.6392405063291139,-0.005063291139240506,-0.039240506329113925,0.0310126582278481,0.027848101265822784,-0.030379746835443037,-0.039240506329113925,0.0310126582278481,0.0310126582278481,0.0310126582278481,-0.046202531645569624,-0.05126582278481013,-0.043670886075949364,0.010126582278481013,-0.008227848101265823,0.05126582278481013,0.02721518987341772
RNN,0.509493670886076,-0.027848101265822784,1,0.6259493670886076,0.4917721518987342,0.509493670886076,0.5044303797468355,0.5031645569620253,0.5031645569620253,0.5031645569620253,-0.03291139240506329,0.4468354430379747,0.5037974683544304,0.629746835443038,0.6645569620253164,-0.08734177215189873,0.5037974683544304,0.629746835443038,0.629746835443038,0.629746835443038,0.5006329113924051,0.509493670886076,0.4981012658227848,0.7177215189873418,0.6044303797468354,-0.509493670886076,0.6664556962025316
D_slope,0.6113924050632912,0.07405063291139241,0.6259493670886076,1,0.5962025316455696,0.6113924050632912,0.649367088607595,0.6632911392405063,0.6632911392405063,0.6632911392405063,0.03481012658227848,0.6449367088607595,0.629746835443038,0.9455696202531646,0.899367088607595,-0.31708860759493673,0.629746835443038,0.9455696202531646,0.9455696202531646,0.9455696202531646,0.5645569620253165,0.6113924050632912,0.6316455696202532,0.7778481012658228,0.7873417721518987,-0.6113924050632912,0.9455696202531646
RC,0.9417721518987342,-0.04240506329113924,0.4917721518987342,0.5962025316455696,1,0.9417721518987342,0.8645569620253165,0.8810126582278481,0.8810126582278481,0.8810126582278481,-0.07784810126582278,0.8360759493670886,0.9411392405063291,0.6050632911392405,0.6145569620253165,-0.17531645569620252,0.9411392405063291,0.6050632911392405,0.6050632911392405,0.6050632911392405,0.9670886075949368,0.9417721518987342,0.9113924050632911,0.5550632911392405,0.8037974683544303,-0.9417721518987342,0.6189873417721519
gPi,1,-0.05126582278481013,0.509493670886076,0.6113924050632912,0.9417721518987342,1,0.8721518987341772,0.9189873417721519,0.9189873417721519,0.9189873417721519,-0.09050632911392405,0.85,0.9753164556962025,0.6265822784810127,0.639873417721519,-0.11708860759493671,0.9753164556962025,0.6265822784810127,0.6265822784810127,0.6265822784810127,0.9316455696202531,1,0.9582278481012658,0.5968354430379746,0.8189873417721519,-1,0.6303797468354431
PPF,0.8721518987341772,0.07278481012658228,0.5044303797468355,0.649367088607595,0.8645569620253165,0.8721518987341772,1,0.8949367088607595,0.8949367088607595,0.8949367088607595,0.019620253164556962,0.8639240506329114,0.8879746835443038,0.6569620253164556,0.6715189873417722,-0.12215189873417721,0.8879746835443038,0.6569620253164556,0.6569620253164556,0.6569620253164556,0.8481012658227848,0.8721518987341772,0.8810126582278481,0.6234177215189873,0.8139240506329114,-0.8721518987341772,0.6481012658227848
PPi,0.9189873417721519,-0.02088607594936709,0.5031645569620253,0.6632911392405063,0.8810126582278481,0.9189873417721519,0.8949367088607595,1,1,1,-0.06392405063291139,0.8930379746835443,0.939873417721519,0.6860759493670886,0.700632911392405,-0.09177215189873418,0.939873417721519,0.6860759493670886,0.6860759493670886,0.6860759493670886,0.8518987341772152,0.9189873417721519,0.9582278481012658,0.6575949367088607,0.8455696202531645,-0.9189873417721519,0.6683544303797468
PImd,0.9189873417721519,-0.02088607594936709,0.5031645569620253,0.6632911392405063,0.8810126582278481,0.9189873417721519,0.8949367088607595,1,1,1,-0.06392405063291139,0.8930379746835443,0.939873417721519,0.6860759493670886,0.700632911392405,-0.09177215189873418,0.939873417721519,0.6860759493670886,0.6860759493670886,0.6860759493670886,0.8518987341772152,0.9189873417721519,0.9582278481012658,0.6575949367088607,0.8455696202531645,-0.9189873417721519,0.6683544303797468
PILSM,0.9189873417721519,-0.02088607594936709,0.5031645569620253,0.6632911392405063,0.8810126582278481,0.9189873417721519,0.8949367088607595,1,1,1,-0.06392405063291139,0.8930379746835443,0.939873417721519,0.6860759493670886,0.700632911392405,-0.09177215189873418,0.939873417721519,0.6860759493670886,0.6860759493670886,0.6860759493670886,0.8518987341772152,0.9189873417721519,0.9582278481012658,0.6575949367088607,0.8455696202531645,-0.9189873417721519,0.6683544303797468
RTR,-0.09050632911392405,0.6392405063291139,-0.03291139240506329,0.03481012658227848,-0.07784810126582278,-0.09050632911392405,0.019620253164556962,-0.06392405063291139,-0.06392405063291139,-0.06392405063291139,1,-0.015189873417721518,-0.0810126582278481,0.0031645569620253164,0,-0.06455696202531645,-0.0810126582278481,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164,-0.07784810126582278,-0.09050632911392405,-0.08291139240506329,-0.01139240506329114,-0.052531645569620256,0.09050632911392405,-0.004430379746835443
PIR,0.85,-0.005063291139240506,0.4468354430379747,0.6449367088607595,0.8360759493670886,0.85,0.8639240506329114,0.8930379746835443,0.8930379746835443,0.8930379746835443,-0.015189873417721518,1,0.8658227848101265,0.6677215189873418,0.6721518987341772,-0.1379746835443038,0.8658227848101265,0.6677215189873418,0.6677215189873418,0.6677215189873418,0.8094936708860759,0.85,0.8740506329113924,0.6139240506329114,0.7981012658227848,-0.85,0.6525316455696203
RDPI,0.9753164556962025,-0.039240506329113925,0.5037974683544304,0.629746835443038,0.9411392405063291,0.9753164556962025,0.8879746835443038,0.939873417721519,0.939873417721519,0.939873417721519,-0.0810126582278481,0.8658227848101265,1,0.6462025316455696,0.6569620253164556,-0.1291139240506329,1,0.6462025316455696,0.6462025316455696,0.6462025316455696,0.9120253164556962,0.9753164556962025,0.9651898734177216,0.6075949367088608,0.8348101265822785,-0.9753164556962025,0.6462025316455696
ESPI,0.6265822784810127,0.0310126582278481,0.629746835443038,0.9455696202531646,0.6050632911392405,0.6265822784810127,0.6569620253164556,0.6860759493670886,0.6860759493670886,0.6860759493670886,0.0031645569620253164,0.6677215189873418,0.6462025316455696,1,0.9360759493670886,-0.31075949367088607,0.6462025316455696,1,1,1,0.5734177215189873,0.6265822784810127,0.6518987341772152,0.8183544303797469,0.7987341772151899,-0.6265822784810127,0.9367088607594937
ESPIID,0.639873417721519,0.027848101265822784,0.6645569620253164,0.899367088607595,0.6145569620253165,0.639873417721519,0.6715189873417722,0.700632911392405,0.700632911392405,0.700632911392405,0,0.6721518987341772,0.6569620253164556,0.9360759493670886,1,-0.2518987341772152,0.6569620253164556,0.9360759493670886,0.9360759493670886,0.9360759493670886,0.5879746835443038,0.639873417721519,0.6651898734177215,0.8772151898734177,0.8069620253164557,-0.639873417721519,0.910759493670886
PSI,-0.11708860759493671,-0.030379746835443037,-0.08734177215189873,-0.31708860759493673,-0.17531645569620252,-0.11708860759493671,-0.12215189873417721,-0.09177215189873418,-0.09177215189873418,-0.09177215189873418,-0.06455696202531645,-0.1379746835443038,-0.1291139240506329,-0.31075949367088607,-0.2518987341772152,1,-0.1291139240506329,-0.31075949367088607,-0.31075949367088607,-0.31075949367088607,-0.15759493670886077,-0.11708860759493671,-0.09936708860759494,-0.1291139240506329,-0.20949367088607596,0.11708860759493671,-0.3411392405063291
