method,...1,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI
...1,1,0.38164556962025314,-0.03670886075949367,0.6544303797468355,0.3468354430379747,0.34050632911392403,0.38164556962025314,0.3588607594936709,0.3860759493670886,0.3860759493670886,0.3860759493670886,-0.020253164556962026,0.3120253164556962,0.35253164556962024,0.39177215189873416,0.5,0.2417721518987342,0.35253164556962024,0.39177215189873416,0.39177215189873416,0.39177215189873416,0.3468354430379747,0.38164556962025314,0.4708860759493671,0.6044303797468354,0.40759493670886077,-0.38164556962025314
CV_t,0.38164556962025314,1,-0.015822784810126583,0.5373417721518987,0.5765822784810126,0.9462025316455697,1,0.8848101265822785,0.9259493670886076,0.9259493670886076,0.9259493670886076,-0.019620253164556962,0.8569620253164557,0.9481012658227848,0.5746835443037974,0.580379746835443,-0.13987341772151898,0.9481012658227848,0.5746835443037974,0.5746835443037974,0.5746835443037974,0.9525316455696202,1,0.8550632911392405,0.5012658227848101,0.8056962025316455,-1
RN,-0.03670886075949367,-0.015822784810126583,1,-0.03164556962025317,0.05189873417721519,-0.0189873417721519,-0.015822784810126583,0.086708860759493675,-0.020253164556962026,-0.020253164556962026,-0.020253164556962026,0.789873417721519,0.06772151898734177,-0.019620253164556962,0.05126582278481013,0.026582278481012658,-0.026582278481012658,-0.019620253164556962,0.05126582278481013,0.05126582278481013,0.05126582278481013,-0.02278481012658228,-0.015822784810126583,-0.0189873417721519,0.012025316455696202,0.008860759493670886,0.015822784810126583
RNN,0.6544303797468355,0.5373417721518987,-0.03164556962025317,1,0.6544303797468355,0.5088607594936709,0.5373417721518987,0.509493670886076,0.5253164556962026,0.5253164556962026,0.5253164556962026,-0.016455696202531647,0.45759493670886076,0.510759493670886,0.7132911392405064,0.7911392405063291,-0.07721518987341772,0.510759493670886,0.7132911392405064,0.7132911392405064,0.7132911392405064,0.5139240506329114,0.5373417721518987,0.5632911392405063,0.7575949367088608,0.6341772151898735,-0.5373417721518987
D_slope,0.3468354430379747,0.5765822784810126,0.05189873417721519,0.6544303797468355,1,0.5734177215189873,0.5765822784810126,0.5917721518987342,0.5936708860759494,0.5936708860759494,0.5936708860759494,0.07341772151898734,0.5968354430379746,0.5968354430379746,0.9056962025316456,0.8025316455696202,-0.379746835443038,0.5968354430379746,0.9056962025316456,0.9056962025316456,0.9056962025316456,0.5734177215189873,0.5765822784810126,0.5354430379746835,0.6031645569620253,0.7569620253164557,-0.5765822784810126
RC,0.34050632911392403,0.9462025316455697,-0.0189873417721519,0.5088607594936709,0.5734177215189873,1,0.9462025316455697,0.8740506329113924,0.889873417721519,0.889873417721519,0.889873417721519,-0.021518987341772152,0.8386075949367089,0.9449367088607595,0.5588607594936709,0.549367088607595,-0.1911392405063291,0.9449367088607595,0.5588607594936709,0.5588607594936709,0.5588607594936709,0.9936708860759493,0.9462025316455697,0.8012658227848102,0.4550632911392405,0.7936708860759494,-0.9462025316455697
gPi,0.38164556962025314,1,-0.015822784810126583,0.5373417721518987,0.5765822784810126,0.9462025316455697,1,0.8848101265822785,0.9259493670886076,0.9259493670886076,0.9259493670886076,-0.019620253164556962,0.8569620253164557,0.9481012658227848,0.5746835443037974,0.580379746835443,-0.13987341772151898,0.9481012658227848,0.5746835443037974,0.5746835443037974,0.5746835443037974,0.9525316455696202,1,0.8550632911392405,0.5012658227848101,0.8056962025316455,-1
PPF,0.3588607594936709,0.8848101265822785,0.086708860759493675,0.509493670886076,0.5917721518987342,0.8740506329113924,0.8848101265822785,1,0.8892405063291139,0.8892405063291139,0.8892405063291139,0.09430379746835443,0.9126582278481012,0.8936708860759494,0.5734177215189873,0.5639240506329114,-0.160126582278481,0.8936708860759494,0.5734177215189873,0.5734177215189873,0.5734177215189873,0.8727848101265823,0.8848101265822785,0.7968354430379747,0.47848101265822784,0.7867088607594936,-0.8848101265822785
PPi,0.3860759493670886,0.9259493670886076,-0.020253164556962026,0.5253164556962026,0.5936708860759494,0.889873417721519,0.9259493670886076,0.8892405063291139,1,1,1,-0.007594936708860759,0.8879746835443038,0.939873417721519,0.5854430379746836,0.589873417721519,-0.1240506329113924,0.939873417721519,0.5854430379746836,0.5854430379746836,0.5854430379746836,0.8949367088607595,0.9259493670886076,0.8620253164556962,0.5145569620253164,0.7886075949367088,-0.9259493670886076
PImd,0.3860759493670886,0.9259493670886076,-0.020253164556962026,0.5253164556962026,0.5936708860759494,0.889873417721519,0.9259493670886076,0.8892405063291139,1,1,1,-0.007594936708860759,0.8879746835443038,0.939873417721519,0.5854430379746836,0.589873417721519,-0.1240506329113924,0.939873417721519,0.5854430379746836,0.5854430379746836,0.5854430379746836,0.8949367088607595,0.9259493670886076,0.8620253164556962,0.5145569620253164,0.7886075949367088,-0.9259493670886076
