method,...1,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI
...1,-0,4.775878876609195e-4,0.7464865891276068,4.59030268356831e-11,0.00162258294782255,0.0019977706764932783,4.775878876609195e-4,0.0010798933867487031,4.046895715597687e-4,4.046895715597687e-4,4.046895715597687e-4,0.8584739952422611,0.004837991243435567,0.0013406093744006867,3.259448334637784e-4,2.332953298014219e-6,0.030725840027064858,0.0013406093744006867,3.259448334637784e-4,3.259448334637784e-4,3.259448334637784e-4,0.00162258294782255,4.775878876609195e-4,1.0428792299442512e-5,2.90659819281348e-9,1.750076350469471e-4,4.775878876609195e-4
CV_t,4.775878876609195e-4,-0,0.8892094426984957,2.760287875878082e-7,2.1790982690010288e-8,5.700712087637754e-40,-0,1.370099529601497e-27,9.995098036208415e-35,9.995098036208415e-35,9.995098036208415e-35,0.8628530153926256,3.6772020332254896e-24,1.455462572977129e-40,2.4830468648697034e-8,1.6740700952550612e-8,0.21591274786340348,1.455462572977129e-40,2.4830468648697034e-8,2.4830468648697034e-8,2.4830468648697034e-8,4.8770435541800855e-42,-0,5.922103298396584e-24,2.178987328396012e-6,2.0200168944620253e-19,-0
RN,0.7464865891276068,0.8892094426984957,-0,0.7805045079747464,0.6475280564916839,0.8672361718168444,0.8892094426984957,0.44440037689619516,0.8584739952422611,0.8584739952422611,0.8584739952422611,3.094267992644278e-18,0.5505925800768716,0.8628530153926256,0.6515456761715074,0.81493957120417,0.81493957120417,0.8628530153926256,0.6515456761715074,0.6515456761715074,0.6515456761715074,0.8410018605097396,0.8892094426984957,0.8672361718168444,0.9156865239588601,0.9378223023821538,0.8892094426984957
RNN,4.59030268356831e-11,2.760287875878082e-7,0.7805045079747464,-0,4.59030268356831e-11,1.43823033501253e-6,2.760287875878082e-7,1.3886596234011138e-6,5.644523102090206e-7,5.644523102090206e-7,5.644523102090206e-7,0.8848075588954207,1.9766645139197845e-5,1.2943105824551052e-6,1.136991765038479e-13,2.5091228880413605e-18,0.49600974150892463,1.2943105824551052e-6,1.136991765038479e-13,1.136991765038479e-13,1.136991765038479e-13,1.0841890626960062e-6,2.760287875878082e-7,5.343317083759952e-8,4.1694592800968367e-16,2.6963893337105506e-10,2.760287875878082e-7
D_slope,0.00162258294782255,2.1790982690010288e-8,0.6475280564916839,4.59030268356831e-11,-0,2.7076409202003334e-8,2.1790982690010288e-8,7.436083181807704e-9,6.475471004319602e-9,6.475471004319602e-9,6.475471004319602e-9,0.517497744891368,5.131933759341042e-9,5.131933759341042e-9,8.415266638833142e-31,3.555682739322236e-19,5.123573291483226e-4,5.131933759341042e-9,8.415266638833142e-31,8.415266638833142e-31,8.415266638833142e-31,2.7076409202003334e-8,2.1790982690010288e-8,3.096074229294133e-7,3.198777429341172e-9,4.555046553448293e-16,2.1790982690010288e-8
RC,0.0019977706764932783,5.700712087637754e-40,0.8672361718168444,1.43823033501253e-6,2.7076409202003334e-8,-0,5.700712087637754e-40,3.609254557840347e-26,2.620759892325962e-28,2.620759892325962e-28,2.620759892325962e-28,0.8497288811540318,2.8261398367888435e-22,1.3784380953279936e-39,7.143203087127077e-8,1.3121161114809785e-7,0.08943378085501678,1.3784380953279936e-39,7.143203087127077e-8,7.143203087127077e-8,7.143203087127077e-8,7.871322928919938e-76,5.700712087637754e-40,4.445405514897707e-19,2.2260303572931624e-5,1.6426820671289003e-18,5.700712087637754e-40
gPi,4.775878876609195e-4,-0,0.8892094426984957,2.760287875878082e-7,2.1790982690010288e-8,5.700712087637754e-40,-0,1.370099529601497e-27,9.995098036208415e-35,9.995098036208415e-35,9.995098036208415e-35,0.8628530153926256,3.6772020332254896e-24,1.455462572977129e-40,2.4830468648697034e-8,1.6740700952550612e-8,0.21591274786340348,1.455462572977129e-40,2.4830468648697034e-8,2.4830468648697034e-8,2.4830468648697034e-8,4.8770435541800855e-42,-0,5.922103298396584e-24,2.178987328396012e-6,2.0200168944620253e-19,-0
PPF,0.0010798933867487031,1.370099529601497e-27,0.44440037689619516,1.3886596234011138e-6,7.436083181807704e-9,3.609254557840347e-26,1.370099529601497e-27,-0,3.2368053812726216e-28,3.2368053812726216e-28,3.2368053812726216e-28,0.40537495457420814,4.837555464604476e-32,7.182507004413281e-29,2.7076409202003334e-8,5.124463514843314e-8,0.15594328189296475,7.182507004413281e-29,2.7076409202003334e-8,2.7076409202003334e-8,2.7076409202003334e-8,5.199465375404311e-26,1.370099529601497e-27,9.59306802706611e-19,7.14955932920101e-6,5.19328336123696e-18,1.370099529601497e-27
PPi,4.046895715597687e-4,9.995098036208415e-35,0.8584739952422611,5.644523102090206e-7,6.475471004319602e-9,2.620759892325962e-28,9.995098036208415e-35,3.2368053812726216e-28,-0,-0,-0,0.9466907761382256,4.918551809955259e-28,3.867889108868874e-38,1.171688360178022e-8,8.531596104424278e-9,0.2729382825293118,3.867889108868874e-38,1.171688360178022e-8,1.171688360178022e-8,1.171688360178022e-8,4.6147883431168816e-29,9.995098036208415e-35,9.970977812415243e-25,1.0462251055239e-6,3.810410562318521e-18,9.995098036208415e-35
PImd,4.046895715597687e-4,9.995098036208415e-35,0.8584739952422611,5.644523102090206e-7,6.475471004319602e-9,2.620759892325962e-28,9.995098036208415e-35,3.2368053812726216e-28,-0,-0,-0,0.9466907761382256,4.918551809955259e-28,3.867889108868874e-38,1.171688360178022e-8,8.531596104424278e-9,0.2729382825293118,3.867889108868874e-38,1.171688360178022e-8,1.171688360178022e-8,1.171688360178022e-8,4.6147883431168816e-29,9.995098036208415e-35,9.970977812415243e-25,1.0462251055239e-6,3.810410562318521e-18,9.995098036208415e-35
PILSM,4.046895715597687e-4,9.995098036208415e-35,0.8584739952422611,5.644523102090206e-7,6.475471004319602e-9,2.620759892325962e-28,9.995098036208415e-35,3.2368053812726216e-28,-0,-0,-0,0.9466907761382256,4.918551809955259e-28,3.867889108868874e-38,1.171688360178022e-8,8.531596104424278e-9,0.2729382825293118,3.867889108868874e-38,1.171688360178022e-8,1.171688360178022e-8,1.171688360178022e-8,4.6147883431168816e-29,9.995098036208415e-35,9.970977812415243e-25,1.0462251055239e-6,3.810410562318521e-18,9.995098036208415e-35
RTR,0.8584739952422611,0.8628530153926256,3.094267992644278e-18,0.8848075588954207,0.517497744891368,0.8497288811540318,0.8628530153926256,0.40537495457420814,0.9466907761382256,0.9466907761382256,0.9466907761382256,-0,0.45786116835950474,0.9245340962668596,0.6435204808644214,0.7719585124472866,0.6963736654649657,0.9245340962668596,0.6435204808644214,0.6435204808644214,0.6435204808644214,0.8236061911964025,0.8628530153926256,0.8322939578999411,0.8540992408074235,0.9644460941177898,0.8628530153926256
PIR,0.004837991243435567,3.6772020332254896e-24,0.5505925800768716,1.9766645139197845e-5,5.131933759341042e-9,2.8261398367888435e-22,3.6772020332254896e-24,4.837555464604476e-32,4.918551809955259e-28,4.918551809955259e-28,4.918551809955259e-28,0.45786116835950474,-0,4.5058164435162415e-27,2.4830468648697034e-8,1.1636181609205665e-7,0.11449744531796663,4.5058164435162415e-27,2.4830468648697034e-8,2.4830468648697034e-8,2.4830468648697034e-8,3.736687182250836e-22,3.6772020332254896e-24,2.4384544285330796e-16,2.734329080505699e-5,1.1740554582326945e-16,3.6772020332254896e-24
RDPI,0.0013406093744006867,1.455462572977129e-40,0.8628530153926256,1.2943105824551052e-6,5.131933759341042e-9,1.3784380953279936e-39,1.455462572977129e-40,7.182507004413281e-29,3.867889108868874e-38,3.867889108868874e-38,3.867889108868874e-38,0.9245340962668596,4.5058164435162415e-27,-0,2.4830468648697034e-8,3.3567227157874185e-8,0.12819322144542517,-0,2.4830468648697034e-8,2.4830468648697034e-8,2.4830468648697034e-8,1.3784380953279936e-39,1.455462572977129e-40,4.979483585793977e-20,9.798930475510406e-6,3.976532728003328e-19,1.455462572977129e-40
ESPI,3.259448334637784e-4,2.4830468648697034e-8,0.6515456761715074,1.136991765038479e-13,8.415266638833142e-31,7.143203087127077e-8,2.4830468648697034e-8,2.7076409202003334e-8,1.171688360178022e-8,1.171688360178022e-8,1.171688360178022e-8,0.6435204808644214,2.4830468648697034e-8,2.4830468648697034e-8,-0,3.048238951767836e-25,0.0012301648120794707,2.4830468648697034e-8,-0,-0,-0,5.5710310833464294e-08,2.4830468648697034e-8,1.1636181609205665e-7,1.7994136436579627e-11,2.4384544285330796e-16,2.4830468648697034e-8
ESPIID,2.332953298014219e-6,1.6740700952550612e-8,0.81493957120417,2.5091228880413605e-18,3.555682739322236e-19,1.3121161114809785e-7,1.6740700952550612e-8,5.124463514843314e-8,8.531596104424278e-9,8.531596104424278e-9,8.531596104424278e-9,0.7719585124472866,1.1636181609205665e-7,3.3567227157874185e-8,3.048238951767836e-25,-0,0.048296468417159524,3.3567227157874185e-8,3.048238951767836e-25,3.048238951767836e-25,3.048238951767836e-25,9.509372909066903e-8,1.6740700952550612e-8,2.7702384687556976e-9,7.715472939070724e-19,2.98569472398268e-15,1.6740700952550612e-8
PSI,0.030725840027064858,0.21591274786340348,0.81493957120417,0.49600974150892463,5.123573291483226e-4,0.08943378085501678,0.21591274786340348,0.15594328189296475,0.2729382825293118,0.2729382825293118,0.2729382825293118,0.6963736654649657,0.11449744531796663,0.12819322144542517,0.0012301648120794707,0.048296468417159524,-0,0.12819322144542517,0.0012301648120794707,0.0012301648120794707,0.0012301648120794707,0.10076698464127067,0.21591274786340348,0.9911088174754626,0.8628530153926256,0.02896688363510953,0.21591274786340348
RPI,0.0013406093744006867,1.455462572977129e-40,0.8628530153926256,1.2943105824551052e-6,5.131933759341042e-9,1.3784380953279936e-39,1.455462572977129e-40,7.182507004413281e-29,3.867889108868874e-38,3.867889108868874e-38,3.867889108868874e-38,0.9245340962668596,4.5058164435162415e-27,-0,2.4830468648697034e-8,3.3567227157874185e-8,0.12819322144542517,-0,2.4830468648697034e-8,2.4830468648697034e-8,2.4830468648697034e-8,1.3784380953279936e-39,1.455462572977129e-40,4.979483585793977e-20,9.798930475510406e-6,3.976532728003328e-19,1.455462572977129e-40
PQ,3.259448334637784e-4,2.4830468648697034e-8,0.6515456761715074,1.136991765038479e-13,8.415266638833142e-31,7.143203087127077e-8,2.4830468648697034e-8,2.7076409202003334e-8,1.171688360178022e-8,1.171688360178022e-8,1.171688360178022e-8,0.6435204808644214,2.4830468648697034e-8,2.4830468648697034e-8,-0,3.048238951767836e-25,0.0012301648120794707,2.4830468648697034e-8,-0,-0,-0,5.5710310833464294e-08,2.4830468648697034e-8,1.1636181609205665e-7,1.7994136436579627e-11,2.4384544285330796e-16,2.4830468648697034e-8
PR,3.259448334637784e-4,2.4830468648697034e-8,0.6515456761715074,1.136991765038479e-13,8.415266638833142e-31,7.143203087127077e-8,2.4830468648697034e-8,2.7076409202003334e-8,1.171688360178022e-8,1.171688360178022e-8,1.171688360178022e-8,0.6435204808644214,2.4830468648697034e-8,2.4830468648697034e-8,-0,3.048238951767836e-25,0.0012301648120794707,2.4830468648697034e-8,-0,-0,-0,5.5710310833464294e-08,2.4830468648697034e-8,1.1636181609205665e-7,1.7994136436579627e-11,2.4384544285330796e-16,2.4830468648697034e-8
NRW,3.259448334637784e-4,2.4830468648697034e-8,0.6515456761715074,1.136991765038479e-13,8.415266638833142e-31,7.143203087127077e-8,2.4830468648697034e-8,2.7076409202003334e-8,1.171688360178022e-8,1.171688360178022e-8,1.171688360178022e-8,0.6435204808644214,2.4830468648697034e-8,2.4830468648697034e-8,-0,3.048238951767836e-25,0.0012301648120794707,2.4830468648697034e-8,-0,-0,-0,5.5710310833464294e-08,2.4830468648697034e-8,1.1636181609205665e-7,1.7994136436579627e-11,2.4384544285330796e-16,2.4830468648697034e-8
ESP,0.00162258294782255,4.8770435541800855e-42,0.8410018605097396,1.0841890626960062e-6,2.7076409202003334e-8,7.871322928919938e-76,4.8770435541800855e-42,5.199465375404311e-26,4.6147883431168816e-29,4.6147883431168816e-29,4.6147883431168816e-29,0.8236061911964025,3.736687182250836e-22,1.3784380953279936e-39,5.5710310833464294e-08,9.509372909066903e-8,0.10076698464127067,1.3784380953279936e-39,5.5710310833464294e-08,5.5710310833464294e-08,5.5710310833464294e-08,-0,4.8770435541800855e-42,1.4316759493400168e-19,1.6510706488827407e-5,8.604857232280229e-19,4.8770435541800855e-42
CEV,4.775878876609195e-4,-0,0.8892094426984957,2.760287875878082e-7,2.1790982690010288e-8,5.700712087637754e-40,-0,1.370099529601497e-27,9.995098036208415e-35,9.995098036208415e-35,9.995098036208415e-35,0.8628530153926256,3.6772020332254896e-24,1.455462572977129e-40,2.4830468648697034e-8,1.6740700952550612e-8,0.21591274786340348,1.455462572977129e-40,2.4830468648697034e-8,2.4830468648697034e-8,2.4830468648697034e-8,4.8770435541800855e-42,-0,5.922103298396584e-24,2.178987328396012e-6,2.0200168944620253e-19,-0
PFI,1.0428792299442512e-5,5.922103298396584e-24,0.8672361718168444,5.343317083759952e-8,3.096074229294133e-7,4.445405514897707e-19,5.922103298396584e-24,9.59306802706611e-19,9.970977812415243e-25,9.970977812415243e-25,9.970977812415243e-25,0.8322939578999411,2.4384544285330796e-16,4.979483585793977e-20,1.1636181609205665e-7,2.7702384687556976e-9,0.9911088174754626,4.979483585793977e-20,1.1636181609205665e-7,1.1636181609205665e-7,1.1636181609205665e-7,1.4316759493400168e-19,5.922103298396584e-24,-0,5.633888710060971e-9,1.2739399502503635e-14,5.922103298396584e-24
APC,2.90659819281348e-9,2.178987328396012e-6,0.9156865239588601,4.1694592800968367e-16,3.198777429341172e-9,2.2260303572931624e-5,2.178987328396012e-6,7.14955932920101e-6,1.0462251055239e-6,1.0462251055239e-6,1.0462251055239e-6,0.8540992408074235,2.734329080505699e-5,9.798930475510406e-6,1.7994136436579627e-11,7.715472939070724e-19,0.8628530153926256,9.798930475510406e-6,1.7994136436579627e-11,1.7994136436579627e-11,1.7994136436579627e-11,1.6510706488827407e-5,2.178987328396012e-6,5.633888710060971e-9,-0,1.5320767679888095e-8,2.178987328396012e-6
SI,1.750076350469471e-4,2.0200168944620253e-19,0.9378223023821538,2.6963893337105506e-10,4.555046553448293e-16,1.6426820671289003e-18,2.0200168944620253e-19,5.19328336123696e-18,3.810410562318521e-18,3.810410562318521e-18,3.810410562318521e-18,0.9644460941177898,1.1740554582326945e-16,3.976532728003328e-19,2.4384544285330796e-16,2.98569472398268e-15,0.02896688363510953,3.976532728003328e-19,2.4384544285330796e-16,2.4384544285330796e-16,2.4384544285330796e-16,8.604857232280229e-19,2.0200168944620253e-19,1.2739399502503635e-14,1.5320767679888095e-8,-0,2.0200168944620253e-19
RSI,4.775878876609195e-4,-0,0.8892094426984957,2.760287875878082e-7,2.1790982690010288e-8,5.700712087637754e-40,-0,1.370099529601497e-27,9.995098036208415e-35,9.995098036208415e-35,9.995098036208415e-35,0.8628530153926256,3.6772020332254896e-24,1.455462572977129e-40,2.4830468648697034e-8,1.6740700952550612e-8,0.21591274786340348,1.455462572977129e-40,2.4830468648697034e-8,2.4830468648697034e-8,2.4830468648697034e-8,4.8770435541800855e-42,-0,5.922103298396584e-24,2.178987328396012e-6,2.0200168944620253e-19,-0
