PS,Stat,r,p,star
...1,EVS,0.5246601031411158,5.864636469900298e-7,***
CV_t,EVS,0.7670417252695734,1.0775414845090564e-16,***
RN,EVS,0.07058134083450539,0.5338500573655702,
RNN,EVS,0.789592123769339,3.2411818372114082e-18,***
D_slope,EVS,0.9840365682137834,3.073785823397012e-60,***
RC,EVS,0.7638537271448663,1.7131629476991806e-16,***
gPi,EVS,0.7670417252695734,1.0775414845090564e-16,***
PPF,EVS,0.7714721050164088,5.587651599672114e-17,***
PPi,EVS,0.7584857008907642,3.6797461727220216e-16,***
PImd,EVS,0.7584857008907642,3.6797461727220216e-16,***
PILSM,EVS,0.7584857008907642,3.6797461727220216e-16,***
RTR,EVS,0.07212845757149555,0.5248989767240867,
PIR,EVS,0.7598921706516644,3.0176138925945716e-16,***
RDPI,EVS,0.7677449601500235,9.718176221101387e-17,***
ESPI,EVS,0.990857946554149,1.2637639965807744e-69,***
ESPIID,EVS,0.9552273792780122,5.2487563499795885e-43,***
PSI,EVS,-0.3604313173933427,0.0010227672460106517,**
RPI,EVS,0.7677449601500235,9.718176221101387e-17,***
PQ,EVS,0.990857946554149,1.2637639965807744e-69,***
PR,EVS,0.990857946554149,1.2637639965807744e-69,***
NRW,EVS,0.990857946554149,1.2637639965807744e-69,***
ESP,EVS,0.7653305203938116,1.3832936290582817e-16,***
CEV,EVS,0.7670417252695734,1.0775414845090564e-16,***
PFI,EVS,0.713314580403188,1.1339413444626184e-13,***
APC,EVS,0.7882325363338022,4.051750199205775e-18,***
SI,EVS,0.9253164556962025,1.3761258326461237e-34,***
RSI,EVS,-0.7670417252695734,1.0775414845090564e-16,***
...1,min,-0.3123300515705579,0.004794506442273515,**
CV_t,min,-0.7265353961556493,2.385071005793229e-14,***
RN,min,0.06577590248476324,0.5621259635830005,
RNN,min,-0.30618846694796065,0.005741211823481056,**
D_slope,min,-0.20902484763244258,0.06277773493772347,
RC,min,-0.7185419596812002,6.18697298392743e-14,***
gPi,min,-0.7265353961556493,2.385071005793229e-14,***
PPF,min,-0.7130567276136897,1.167933813136898e-13,***
PPi,min,-0.7383966244725738,5.4411260497806155e-15,***
PImd,min,-0.7383966244725738,5.4411260497806155e-15,***
PILSM,min,-0.7383966244725738,5.4411260497806155e-15,***
RTR,min,0.03288795124238162,0.772116528803717,
PIR,min,-0.7010079699953117,4.483306778763202e-13,***
RDPI,min,-0.7296296296296296,1.6342817051057316e-14,***
ESPI,min,-0.18180965775902486,0.10651773791715874,
ESPIID,min,-0.22076887013595875,0.049080333430447654,*
PSI,min,-0.05811064228785748,0.6086438865810964,
RPI,min,-0.7296296296296296,1.6342817051057316e-14,***
PQ,min,-0.18180965775902486,0.10651773791715874,
PR,min,-0.18180965775902486,0.10651773791715874,
NRW,min,-0.18180965775902486,0.10651773791715874,
ESP,min,-0.7182841068917019,6.376689908803134e-14,***
CEV,min,-0.7265353961556493,2.385071005793229e-14,***
PFI,min,-0.7352320675105486,8.133377555021691e-15,***
APC,min,-0.24090482887951245,0.03134876335659534,*
SI,min,-0.5017580872011251,2.1217368545430832e-6,***
RSI,min,0.7265353961556493,2.385071005793229e-14,***
...1,max,-0.03598218471636193,0.7513408212620305,
CV_t,max,-0.3616971401781528,9.787365859901024e-4,***
RN,max,0.06577590248476324,0.5621259635830005,
RNN,max,0.05904828879512424,0.6028641946221941,
D_slope,max,0.21872948898265354,0.051264529383399586,
RC,max,-0.36122831692451945,9.948394982343771e-4,***
gPi,max,-0.3616971401781528,9.787365859901024e-4,***
PPF,max,-0.3540084388185654,0.0012751411089750582,**
PPi,max,-0.37083919362400375,7.084634550959143e-4,***
