genotype,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI,EVS
1,52,6,63,18,49,52,43,46,46,46,13,42,49,25,30,73,49,25,25,25,53,52,48,34,41,29,22
2,63,66,72,51,62,63,63,62,62,62,66,55,63,50,56,49,63,50,50,50,64,63,61,66,61,18,52
3,34,8,65,29,31,34,27,33,33,33,2,26,33,32,33,66,33,32,32,32,31,34,33,43,35,47,31
4,45,2,61,16,43,45,40,43,43,43,11,40,43,20,25,78,43,20,20,20,47,45,43,30,37,36,18
5,42,70,69,47,42,42,47,42,42,42,71,37,41,44,50,57,41,44,44,44,45,42,40,60,44,39,45
6,79,48,79,79,79,79,79,79,79,79,53,79,79,79,79,18,79,79,79,79,79,79,79,79,79,2,79
7,80,41,80,80,80,80,80,80,80,80,32,80,80,80,80,2,80,80,80,80,80,80,80,80,80,1,80
8,32,13,68,40,29,32,23,31,31,31,1,18,31,41,47,58,31,41,41,41,29,32,31,59,38,49,43
9,77,62,77,78,77,77,77,77,77,77,57,76,77,77,77,40,77,77,77,77,77,77,77,77,78,4,77
10,61,16,70,46,59,61,57,57,57,57,14,53,59,48,54,52,59,48,48,48,61,61,59,62,56,20,49
11,70,18,75,70,70,70,70,71,71,71,18,66,70,70,74,46,70,70,70,70,70,70,71,75,73,11,73
12,64,17,71,48,63,64,61,60,60,60,16,59,62,49,55,50,62,49,49,49,65,64,62,65,60,17,51
13,74,64,74,68,74,74,74,73,73,73,64,73,73,65,71,47,73,65,65,65,73,74,73,74,72,7,69
14,73,25,78,77,72,73,72,72,72,72,19,72,72,78,78,36,72,78,78,78,72,73,72,78,75,8,78
15,11,74,64,34,9,11,25,17,17,17,79,2,12,31,32,67,12,31,31,31,8,11,14,42,21,70,30
16,62,12,67,37,61,62,60,59,59,59,15,57,61,39,43,61,61,39,39,39,63,62,60,56,49,19,39
17,35,79,62,25,35,35,38,36,36,36,76,25,35,24,29,74,35,24,24,24,34,35,35,32,31,46,20
18,4,65,73,56,3,4,21,9,9,9,80,1,6,54,63,48,6,54,54,54,2,4,6,68,33,77,55
19,40,9,66,30,39,40,36,39,39,39,10,36,39,33,34,65,39,33,33,33,40,40,39,44,40,41,32
20,76,20,76,75,76,76,75,75,75,75,22,75,76,75,76,43,76,75,75,75,76,76,76,76,76,5,76
21,55,30,54,71,55,55,53,56,56,56,37,60,55,71,69,22,55,71,71,71,52,55,56,69,66,26,70
22,65,63,25,52,65,65,65,65,65,65,45,65,65,53,46,44,65,53,53,53,59,65,65,37,59,16,50
23,78,35,60,76,78,78,78,78,78,78,39,78,78,76,75,11,78,76,76,76,78,78,78,73,77,3,75
24,56,61,38,60,56,56,59,58,58,58,48,62,57,59,58,38,57,59,59,59,54,56,57,52,58,25,58
25,68,47,56,73,69,68,69,70,70,70,42,71,69,73,72,16,69,73,73,73,68,68,68,71,70,13,72
26,58,49,55,72,57,58,62,63,63,63,47,63,58,72,70,19,58,72,72,72,57,58,58,70,67,23,71
27,50,60,40,61,52,50,54,55,55,55,49,58,53,61,60,35,53,61,61,61,48,50,51,54,55,31,60
28,75,46,58,74,75,75,76,76,76,76,40,77,75,74,73,15,75,74,74,74,75,75,75,72,74,6,74
29,41,27,51,66,41,41,41,44,44,44,30,45,42,68,67,29,42,68,68,68,38,41,44,64,57,40,67
30,43,57,44,64,46,43,49,49,49,49,50,49,47,64,64,32,47,64,64,64,39,43,45,58,53,38,64
31,67,56,49,67,67,67,68,69,69,69,43,70,67,66,65,31,67,66,66,66,67,67,67,61,68,14,65
32,69,23,37,57,68,69,66,68,68,68,38,69,68,58,57,39,68,58,58,58,69,69,69,51,64,12,57
33,47,22,30,55,47,47,46,50,50,50,33,50,48,57,52,41,48,57,57,57,44,47,49,45,47,34,54
34,59,59,41,62,64,59,64,64,64,64,46,64,64,62,61,34,64,62,62,62,58,59,64,55,63,22,61
35,49,24,39,59,48,49,48,51,51,51,34,51,50,60,59,37,50,60,60,60,46,49,50,53,54,32,59
36,44,19,23,50,45,44,44,48,48,48,31,47,46,52,45,45,46,52,52,52,42,44,46,35,45,37,48
37,51,21,28,53,50,51,51,53,53,53,35,54,51,56,51,42,51,56,56,56,49,51,52,41,48,30,53
38,66,58,42,63,66,66,67,67,67,67,44,68,66,63,62,33,66,63,63,63,66,66,66,57,65,15,62
39,72,55,53,69,71,72,73,74,74,74,41,74,74,69,68,28,74,69,69,69,71,72,74,67,71,9,68
40,53,26,50,65,53,53,52,54,54,54,36,56,54,67,66,30,54,67,67,67,51,53,54,63,62,28,66
41,27,14,43,38,26,27,19,30,30,30,9,28,27,42,40,56,27,42,42,42,26,27,30,46,36,54,40
42,37,78,16,20,37,37,39,38,38,38,69,41,37,21,21,72,37,21,21,21,37,37,38,24,30,44,16
43,60,15,47,42,58,60,58,61,61,61,17,61,60,46,44,53,60,46,46,46,60,60,63,49,50,21,44
44,19,76,18,26,12,19,30,24,24,24,74,31,20,26,26,70,20,26,26,26,13,19,20,26,17,62,21
45,33,68,46,45,30,33,37,35,35,35,70,39,34,45,42,54,34,45,45,45,30,33,34,48,39,48,42
46,15,72,34,39,11,15,29,20,20,20,75,29,16,37,38,60,16,37,37,37,11,15,18,39,27,66,37
47,20,73,29,36,14,20,32,26,26,26,73,33,21,34,31,64,21,34,34,34,14,20,21,33,23,61,29
48,54,67,48,49,51,54,55,52,52,52,65,52,52,47,48,51,52,47,47,47,55,54,55,50,46,27,46
