method,...1,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI
...1,1,0.5480075011720582,-0.04831223628691983,0.8444210032817628,0.483638068448195,0.5033755274261603,0.5480075011720582,0.5185185185185185,0.5402015939990624,0.5402015939990624,0.5402015939990624,-0.02458977965307079,0.43877168307548053,0.5142053445850914,0.5315986872948898,0.6712611345522738,0.40555555555555556,0.5142053445850914,0.5315986872948898,0.5315986872948898,0.5315986872948898,0.5127519924988279,0.5480075011720582,0.6469292076887013,0.7895218002812939,0.5780590717299579,-0.5480075011720582
CV_t,0.5480075011720582,1,-0.019596812001875293,0.7119081106422879,0.7646038443506797,0.9919596812001876,1,0.976136896390061,0.988255977496484,0.988255977496484,0.988255977496484,-0.03145804031879981,0.9610642287857478,0.9937177684013128,0.7617440225035161,0.763736521331458,-0.1928738865447726,0.9937177684013128,0.7617440225035161,0.7617440225035161,0.7617440225035161,0.9932489451476794,1,0.9608063759962493,0.6679559306141585,0.9443037974683545,-1
RN,-0.04831223628691983,-0.019596812001875293,1,-0.033239568682606656,0.09022503516174403,-0.0249648382559775,-0.019596812001875293,0.14849976558837316,-0.023089545241443975,-0.023089545241443975,-0.023089545241443975,0.9352320675105485,0.12203469292076886,-0.024777308954524145,0.08370839193624004,0.05269573370839194,-0.05478199718706048,-0.024777308954524145,0.08370839193624004,0.08370839193624004,0.08370839193624004,-0.028785747773089544,-0.019596812001875293,-0.0220112517580872,0.024566338490389122,0.02226910454758556,0.019596812001875293
RNN,0.8444210032817628,0.7119081106422879,-0.033239568682606656,1,0.7475621190811065,0.6860759493670886,0.7119081106422879,0.6872480075011721,0.6879512423816222,0.6879512423816222,0.6879512423816222,-0.011087669948429442,0.6047819971870605,0.6849038912330051,0.7750351617440225,0.8772386310360994,0.054547585560243785,0.6849038912330051,0.7750351617440225,0.7750351617440225,0.7750351617440225,0.6911861228316925,0.7119081106422879,0.7421003281762775,0.891279887482419,0.8015471167369902,-0.7119081106422879
D_slope,0.483638068448195,0.7646038443506797,0.09022503516174403,0.7475621190811065,1,0.7605719643694328,0.7646038443506797,0.7833567744960149,0.7738396624472574,0.7738396624472574,0.7738396624472574,0.12611345522737927,0.7859821847163619,0.7778715424285045,0.9816690107829349,0.9351148616971402,-0.3724800750117206,0.7778715424285045,0.9816690107829349,0.9816690107829349,0.9816690107829349,0.7616502578527895,0.7646038443506797,0.713525550867323,0.7653774027191749,0.9153539615564932,-0.7646038443506797
RC,0.5033755274261603,0.9919596812001876,-0.0249648382559775,0.6860759493670886,0.7605719643694328,1,0.9919596812001876,0.9723628691983122,0.9748945147679324,0.9748945147679324,0.9748945147679324,-0.03537271448663854,0.9571261134552275,0.9917252695733709,0.7483122362869199,0.7339662447257383,-0.28112986404125645,0.9917252695733709,0.7483122362869199,0.7483122362869199,0.7483122362869199,0.9996952648851383,0.9919596812001876,0.929324894514768,0.6168073136427566,0.9370839193624004,-0.9919596812001876
gPi,0.5480075011720582,1,-0.019596812001875293,0.7119081106422879,0.7646038443506797,0.9919596812001876,1,0.976136896390061,0.988255977496484,0.988255977496484,0.988255977496484,-0.03145804031879981,0.9610642287857478,0.9937177684013128,0.7617440225035161,0.763736521331458,-0.1928738865447726,0.9937177684013128,0.7617440225035161,0.7617440225035161,0.7617440225035161,0.9932489451476794,1,0.9608063759962493,0.6679559306141585,0.9443037974683545,-1
PPF,0.5185185185185185,0.976136896390061,0.14849976558837316,0.6872480075011721,0.7833567744960149,0.9723628691983122,0.976136896390061,1,0.9717768401312705,0.9717768401312705,0.9717768401312705,0.1586263478668542,0.9837787154242851,0.977473042662916,0.7670651664322551,0.7544069385841538,-0.22606657290201596,0.977473042662916,0.7670651664322551,0.7670651664322551,0.7670651664322551,0.9721284575714955,0.976136896390061,0.933778715424285,0.6461556493202063,0.9317393342709798,-0.976136896390061
PPi,0.5402015939990624,0.988255977496484,-0.023089545241443975,0.6879512423816222,0.7738396624472574,0.9748945147679324,0.988255977496484,0.9717768401312705,1,1,1,-0.011790904828879513,0.9714252226910455,0.9912564463197374,0.7648148148148148,0.7648851383028598,-0.14835911861228318,0.9912564463197374,0.7648148148148148,0.7648148148148148,0.7648148148148148,0.9767463666197843,0.988255977496484,0.9698077824660103,0.6752226910454758,0.9334739803094233,-0.988255977496484
PImd,0.5402015939990624,0.988255977496484,-0.023089545241443975,0.6879512423816222,0.7738396624472574,0.9748945147679324,0.988255977496484,0.9717768401312705,1,1,1,-0.011790904828879513,0.9714252226910455,0.9912564463197374,0.7648148148148148,0.7648851383028598,-0.14835911861228318,0.9912564463197374,0.7648148148148148,0.7648148148148148,0.7648148148148148,0.9767463666197843,0.988255977496484,0.9698077824660103,0.6752226910454758,0.9334739803094233,-0.988255977496484
PILSM,0.5402015939990624,0.988255977496484,-0.023089545241443975,0.6879512423816222,0.7738396624472574,0.9748945147679324,0.988255977496484,0.9717768401312705,1,1,1,-0.011790904828879513,0.9714252226910455,0.9912564463197374,0.7648148148148148,0.7648851383028598,-0.14835911861228318,0.9912564463197374,0.7648148148148148,0.7648148148148148,0.7648148148148148,0.9767463666197843,0.988255977496484,0.9698077824660103,0.6752226910454758,0.9334739803094233,-0.988255977496484
RTR,-0.02458977965307079,-0.03145804031879981,0.9352320675105485,-0.011087669948429442,0.12611345522737927,-0.03537271448663854,-0.03145804031879981,0.1586263478668542,-0.011790904828879513,-0.011790904828879513,-0.011790904828879513,1,0.1406235349273324,-0.015518049695264886,0.08300515705578997,0.0486404125644632,-0.0644397562119081,-0.015518049695264886,0.08300515705578997,0.08300515705578997,0.08300515705578997,-0.039615564932020626,-0.03145804031879981,-0.03614627285513362,0.02348804500703235,0.01090014064697609,0.03145804031879981
PIR,0.43877168307548053,0.9610642287857478,0.12203469292076886,0.6047819971870605,0.7859821847163619,0.9571261134552275,0.9610642287857478,0.9837787154242851,0.9714252226910455,0.9714252226910455,0.9714252226910455,0.1406235349273324,1,0.9715893108298173,0.765799343647445,0.7298640412564463,-0.2509610876699484,0.9715893108298173,0.765799343647445,0.765799343647445,0.765799343647445,0.9563291139240507,0.9610642287857478,0.9200890764181904,0.6050867323019222,0.9139943741209564,-0.9610642287857478
RDPI,0.5142053445850914,0.9937177684013128,-0.024777308954524145,0.6849038912330051,0.7778715424285045,0.9917252695733709,0.9937177684013128,0.977473042662916,0.9912564463197374,0.9912564463197374,0.9912564463197374,-0.015518049695264886,0.9715893108298173,1,0.761251758087201,0.7495546179090482,-0.2382559774964838,1,0.761251758087201,0.761251758087201,0.761251758087201,0.992428504453821,0.9937177684013128,0.9455461790904829,0.6390998593530239,0.939592123769339,-0.9937177684013128
ESPI,0.5315986872948898,0.7617440225035161,0.08370839193624004,0.7750351617440225,0.9816690107829349,0.7483122362869199,0.7617440225035161,0.7670651664322551,0.7648148148148148,0.7648148148148148,0.7648148148148148,0.08300515705578997,0.765799343647445,0.761251758087201,1,0.9668541959681201,-0.2854899203000469,0.761251758087201,1,1,1,0.7510079699953117,0.7617440225035161,0.7342240975152368,0.8164556962025316,0.9179324894514768,-0.7617440225035161
ESPIID,0.6712611345522738,0.763736521331458,0.05269573370839194,0.8772386310360994,0.9351148616971402,0.7339662447257383,0.763736521331458,0.7544069385841538,0.7648851383028598,0.7648851383028598,0.7648851383028598,0.0486404125644632,0.7298640412564463,0.7495546179090482,0.9668541959681201,1,-0.10642287857477731,0.7495546179090482,0.9668541959681201,0.9668541959681201,0.9668541959681201,0.7390529770276606,0.763736521331458,0.7814814814814814,0.9245663384903892,0.9066338490389124,-0.763736521331458
PSI,0.40555555555555556,-0.1928738865447726,-0.05478199718706048,0.054547585560243785,-0.3724800750117206,-0.28112986404125645,-0.1928738865447726,-0.22606657290201596,-0.14835911861228318,-0.14835911861228318,-0.14835911861228318,-0.0644397562119081,-0.2509610876699484,-0.2382559774964838,-0.2854899203000469,-0.10642287857477731,1,-0.2382559774964838,-0.2854899203000469,-0.2854899203000469,-0.2854899203000469,-0.27008907641819035,-0.1928738865447726,0.05269573370839194,0.19135021097046412,-0.2781059540553211,0.1928738865447726
RPI,0.5142053445850914,0.9937177684013128,-0.024777308954524145,0.6849038912330051,0.7778715424285045,0.9917252695733709,0.9937177684013128,0.977473042662916,0.9912564463197374,0.9912564463197374,0.9912564463197374,-0.015518049695264886,0.9715893108298173,1,0.761251758087201,0.7495546179090482,-0.2382559774964838,1,0.761251758087201,0.761251758087201,0.761251758087201,0.992428504453821,0.9937177684013128,0.9455461790904829,0.6390998593530239,0.939592123769339,-0.9937177684013128
PQ,0.5315986872948898,0.7617440225035161,0.08370839193624004,0.7750351617440225,0.9816690107829349,0.7483122362869199,0.7617440225035161,0.7670651664322551,0.7648148148148148,0.7648148148148148,0.7648148148148148,0.08300515705578997,0.765799343647445,0.761251758087201,1,0.9668541959681201,-0.2854899203000469,0.761251758087201,1,1,1,0.7510079699953117,0.7617440225035161,0.7342240975152368,0.8164556962025316,0.9179324894514768,-0.7617440225035161
PR,0.5315986872948898,0.7617440225035161,0.08370839193624004,0.7750351617440225,0.9816690107829349,0.7483122362869199,0.7617440225035161,0.7670651664322551,0.7648148148148148,0.7648148148148148,0.7648148148148148,0.08300515705578997,0.765799343647445,0.761251758087201,1,0.9668541959681201,-0.2854899203000469,0.761251758087201,1,1,1,0.7510079699953117,0.7617440225035161,0.7342240975152368,0.8164556962025316,0.9179324894514768,-0.7617440225035161
NRW,0.5315986872948898,0.7617440225035161,0.08370839193624004,0.7750351617440225,0.9816690107829349,0.7483122362869199,0.7617440225035161,0.7670651664322551,0.7648148148148148,0.7648148148148148,0.7648148148148148,0.08300515705578997,0.765799343647445,0.761251758087201,1,0.9668541959681201,-0.2854899203000469,0.761251758087201,1,1,1,0.7510079699953117,0.7617440225035161,0.7342240975152368,0.8164556962025316,0.9179324894514768,-0.7617440225035161
ESP,0.5127519924988279,0.9932489451476794,-0.028785747773089544,0.6911861228316925,0.7616502578527895,0.9996952648851383,0.9932489451476794,0.9721284575714955,0.9767463666197843,0.9767463666197843,0.9767463666197843,-0.039615564932020626,0.9563291139240507,0.992428504453821,0.7510079699953117,0.7390529770276606,-0.27008907641819035,0.992428504453821,0.7510079699953117,0.7510079699953117,0.7510079699953117,1,0.9932489451476794,0.93356774496015,0.6250117205813408,0.9387013595874356,-0.9932489451476794
CEV,0.5480075011720582,1,-0.019596812001875293,0.7119081106422879,0.7646038443506797,0.9919596812001876,1,0.976136896390061,0.988255977496484,0.988255977496484,0.988255977496484,-0.03145804031879981,0.9610642287857478,0.9937177684013128,0.7617440225035161,0.763736521331458,-0.1928738865447726,0.9937177684013128,0.7617440225035161,0.7617440225035161,0.7617440225035161,0.9932489451476794,1,0.9608063759962493,0.6679559306141585,0.9443037974683545,-1
PFI,0.6469292076887013,0.9608063759962493,-0.0220112517580872,0.7421003281762775,0.713525550867323,0.929324894514768,0.9608063759962493,0.933778715424285,0.9698077824660103,0.9698077824660103,0.9698077824660103,-0.03614627285513362,0.9200890764181904,0.9455461790904829,0.7342240975152368,0.7814814814814814,0.05269573370839194,0.9455461790904829,0.7342240975152368,0.7342240975152368,0.7342240975152368,0.93356774496015,0.9608063759962493,1,0.7616268166901078,0.900210970464135,-0.9608063759962493
APC,0.7895218002812939,0.6679559306141585,0.024566338490389122,0.891279887482419,0.7653774027191749,0.6168073136427566,0.6679559306141585,0.6461556493202063,0.6752226910454758,0.6752226910454758,0.6752226910454758,0.02348804500703235,0.6050867323019222,0.6390998593530239,0.8164556962025316,0.9245663384903892,0.19135021097046412,0.6390998593530239,0.8164556962025316,0.8164556962025316,0.8164556962025316,0.6250117205813408,0.6679559306141585,0.7616268166901078,1,0.7741912798874824,-0.6679559306141585
