PS,Stat,r,p,star
CV_t,min,0.746390060947023,1.9200473896970094e-15,***
RN,min,-0.07325363338021566,0.5184367693491736,
RNN,min,0.349929676511955,0.0014633957674896987,**
D_slope,min,0.2629160806375996,0.018463122474631742,*
RC,min,0.7362400375058603,7.160346154386089e-15,***
gPi,min,0.746390060947023,1.9200473896970094e-15,***
PPF,min,0.7023675574308486,3.8648735851068233e-13,***
PPi,min,0.703891233005157,3.269345257211575e-13,***
PImd,min,0.703891233005157,3.269345257211575e-13,***
PILSM,min,0.703891233005157,3.269345257211575e-13,***
RTR,min,-0.12222222222222222,0.28012486515261786,
PIR,min,0.6723628691983122,8.526391163311743e-12,***
RDPI,min,0.7334036568213783,1.0233201724810083e-14,***
ESPI,min,0.28853727144866387,0.009442752048284615,**
ESPIID,min,0.31861228316924517,0.00397203864975094,**
PSI,min,0.1261837787154243,0.26471154798532864,
RPI,min,0.7334036568213783,1.0233201724810083e-14,***
PQ,min,0.28853727144866387,0.009442752048284615,**
PR,min,0.28853727144866387,0.009442752048284615,**
NRW,min,0.28853727144866387,0.009442752048284615,**
ESP,min,0.7598452883263009,3.0377005204764166e-16,***
CEV,min,0.746390060947023,1.9200473896970094e-15,***
PFI,min,0.7302625410220347,1.5117093840433585e-14,***
APC,min,0.32236286919831225,0.0035432324955086652,**
SI,min,0.5444210032817628,1.7879071412739555e-7,***
RSI,min,-0.746390060947023,1.9200473896970094e-15,***
EVS,min,0.27414439756211906,0.013863834978090676,*
CV_t,max,0.22841068917018284,0.041566151143101596,*
RN,max,-0.06139240506329114,0.5885221325539947,
RNN,max,-0.12030004688232536,0.2878147514456759,
D_slope,max,-0.33612283169245194,0.002301609408612638,**
RC,max,0.23921706516643224,0.03259141643242433,*
gPi,max,0.22841068917018284,0.041566151143101596,*
PPF,max,0.1761837787154243,0.11798436220994109,
PPi,max,0.1557665260196906,0.16767014927367155,
PImd,max,0.1557665260196906,0.16767014927367155,
PILSM,max,0.1557665260196906,0.16767014927367155,
RTR,max,-0.09910923581809658,0.3817564594441134,
PIR,max,0.13966244725738394,0.2166129694131973,
RDPI,max,0.20806375996249413,0.0640238283568486,
ESPI,max,-0.32097984060009377,0.0036962943025780322,**
ESPIID,max,-0.2874824191279887,0.009718642768835372,**
PSI,max,0.12212845757149556,0.28049677483696217,
RPI,max,0.20806375996249413,0.0640238283568486,
PQ,max,-0.32097984060009377,0.0036962943025780322,**
PR,max,-0.32097984060009377,0.0036962943025780322,**
NRW,max,-0.32097984060009377,0.0036962943025780322,**
ESP,max,0.2753633380215659,0.01343008852368814,*
CEV,max,0.22841068917018284,0.041566151143101596,*
PFI,max,0.19791373652133146,0.0784440891468696,
APC,max,-0.25173464603844353,0.024287272158903465,*
SI,max,-0.03912330051570558,0.7304296746812304,
RSI,max,-0.22841068917018284,0.041566151143101596,*
EVS,max,-0.3227848101265823,0.003497674872236457,**
CV_t,mean,0.4944210032817628,3.141862560505178e-6,***
RN,mean,-0.12456633849038912,0.27093386010164117,
RNN,mean,0.09716361931551805,0.39121758186971467,
D_slope,mean,-0.0659634317862166,0.5610093459352908,
RC,mean,0.4954992967651195,2.967408469412722e-6,***
gPi,mean,0.4944210032817628,3.141862560505178e-6,***
PPF,mean,0.43045007032348803,6.736858861822153e-5,***
PPi,mean,0.42981715893108297,6.923770310458733e-5,***
PImd,mean,0.42981715893108297,6.923770310458733e-5,***
PILSM,mean,0.42981715893108297,6.923770310458733e-5,***
RTR,mean,-0.16169714017815284,0.15187217684262824,
PIR,mean,0.4020393811533052,2.1848627103478857e-4,***
RDPI,mean,0.4759024847632443,8.135446842501698e-6,***
ESPI,mean,-0.04118612283169245,0.7168020282526051,
ESPIID,mean,-0.006704172526957338,0.9529355035967956,
PSI,mean,0.1290436005625879,0.25394774135558984,
RPI,mean,0.4759024847632443,8.135446842501698e-6,***
PQ,mean,-0.04118612283169245,0.7168020282526051,
PR,mean,-0.04118612283169245,0.7168020282526051,
NRW,mean,-0.04118612283169245,0.7168020282526051,
ESP,mean,0.5266526019690577,5.22033088165384e-7,***
CEV,mean,0.4944210032817628,3.141862560505178e-6,***
PFI,mean,0.4689170182841069,1.1484375074735909e-5,***
APC,mean,0.01540084388185654,0.8921459024515928,
SI,mean,0.24428035630567274,0.028982771824635087,*
RSI,mean,-0.4944210032817628,3.141862560505178e-6,***
EVS,mean,-0.048874824191279885,0.6668122742611656,
CV_t,median,0.49552273792780127,2.9637191681486697e-6,***
RN,median,-0.16080637599624942,0.15417130695630482,
RNN,median,0.09458509142053445,0.4039692600166862,
D_slope,median,-0.0637599624941397,0.5741956106413375,
RC,median,0.4957805907172996,2.9234205653809228e-6,***
gPi,median,0.49552273792780127,2.9637191681486697e-6,***
PPF,median,0.4273089545241444,7.712808265067343e-5,***
PPi,median,0.4296061884669479,6.987135418865427e-5,***
PImd,median,0.4296061884669479,6.987135418865427e-5,***
PILSM,median,0.4296061884669479,6.987135418865427e-5,***
RTR,median,-0.186544772620722,0.09755474334508812,
PIR,median,0.4006329113924051,2.3096965684159937e-4,***
RDPI,median,0.47627754336615097,7.984528702815828e-6,***
ESPI,median,-0.03680262541022034,0.7458609499594199,
