method,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI,EVS
CV_t,1,-0.0759493670886076,0.6861228316924519,0.8014299109235818,0.9910689170182841,1,0.9678387248007501,0.9879278012189405,0.9879278012189405,0.9879278012189405,-0.1355368026254102,0.9642053445850914,0.9983591186122832,0.8183075480543834,0.823159868729489,-0.13333333333333333,0.9983591186122832,0.8183075480543834,0.8183075480543834,0.8183075480543834,0.9892873886544772,1,0.9957337083919362,0.7750351617440225,0.9511486169714019,-1,0.8156821378340365
RN,-0.0759493670886076,1,-0.036661978434130334,0.12142522269104548,-0.06347866854195967,-0.0759493670886076,0.12894983591186124,-0.027684013127051103,-0.027684013127051103,-0.027684013127051103,0.8220815752461322,0.024120956399437413,-0.0549929676511955,0.05527426160337553,0.04552273792780122,-0.06310360993905297,-0.0549929676511955,0.05527426160337553,0.05527426160337553,0.05527426160337553,-0.07088607594936709,-0.0759493670886076,-0.0603609939052977,0.02625410220346929,-0.01828410689170183,0.0759493670886076,0.04306141584622598
RNN,0.6861228316924519,-0.036661978434130334,1,0.7462259728082513,0.6630567276136897,0.6861228316924519,0.6946788560712611,0.6872245663384904,0.6872245663384904,0.6872245663384904,-0.04812470698546648,0.6071026722925458,0.6805438349742148,0.7483591186122832,0.7969292076887013,0.007759024847632443,0.6805438349742148,0.7483591186122832,0.7483591186122832,0.7483591186122832,0.6731364275668074,0.6861228316924519,0.680379746835443,0.8454992967651195,0.7827238631036099,-0.6861228316924519,0.7651664322550399
D_slope,0.8014299109235818,0.12142522269104548,0.7462259728082513,1,0.7902015939990624,0.8014299109235818,0.8456868260665729,0.8437412095639943,0.8437412095639943,0.8437412095639943,0.061345522737927795,0.8315049226441631,0.8163384903891233,0.9939521800281295,0.9818330989217066,-0.2264650726676043,0.8163384903891233,0.9939521800281295,0.9939521800281295,0.9939521800281295,0.7657055789967182,0.8014299109235818,0.8211204875761838,0.9140646976090014,0.9344350679793718,-0.8014299109235818,0.994116268166901
RC,0.9910689170182841,-0.06347866854195967,0.6630567276136897,0.7902015939990624,1,0.9910689170182841,0.9596108766994843,0.9703000468823253,0.9703000468823253,0.9703000468823253,-0.11971401781528365,0.9525785278949835,0.9907641819034224,0.8014299109235818,0.8,-0.22925457102672292,0.9907641819034224,0.8014299109235818,0.8014299109235818,0.8014299109235818,0.9960150023441163,0.9910689170182841,0.9817158931082982,0.7358180965775902,0.942639474917956,-0.9910689170182841,0.8080403187998125
gPi,1,-0.0759493670886076,0.6861228316924519,0.8014299109235818,0.9910689170182841,1,0.9678387248007501,0.9879278012189405,0.9879278012189405,0.9879278012189405,-0.1355368026254102,0.9642053445850914,0.9983591186122832,0.8183075480543834,0.823159868729489,-0.13333333333333333,0.9983591186122832,0.8183075480543834,0.8183075480543834,0.8183075480543834,0.9892873886544772,1,0.9957337083919362,0.7750351617440225,0.9511486169714019,-1,0.8156821378340365
PPF,0.9678387248007501,0.12894983591186124,0.6946788560712611,0.8456868260665729,0.9596108766994843,0.9678387248007501,1,0.9752695733708391,0.9752695733708391,0.9752695733708391,0.047280825128926396,0.9635724331926863,0.9734411626816691,0.8488513830285982,0.8528129395218004,-0.12986404125644632,0.9734411626816691,0.8488513830285982,0.8488513830285982,0.8488513830285982,0.9544303797468354,0.9678387248007501,0.9707219878105954,0.8028129395218003,0.9471401781528365,-0.9678387248007501,0.8408345053914674
PPi,0.9879278012189405,-0.027684013127051103,0.6872245663384904,0.8437412095639943,0.9703000468823253,0.9879278012189405,0.9752695733708391,1,1,1,-0.09758556024378809,0.9763713080168777,0.9914205344585092,0.8633380215658696,0.8683075480543835,-0.06697140178152836,0.9914205344585092,0.8633380215658696,0.8633380215658696,0.8633380215658696,0.9621659634317862,0.9879278012189405,0.9961556493202063,0.8274027191748711,0.9614861697140178,-0.9879278012189405,0.8478199718706048
PImd,0.9879278012189405,-0.027684013127051103,0.6872245663384904,0.8437412095639943,0.9703000468823253,0.9879278012189405,0.9752695733708391,1,1,1,-0.09758556024378809,0.9763713080168777,0.9914205344585092,0.8633380215658696,0.8683075480543835,-0.06697140178152836,0.9914205344585092,0.8633380215658696,0.8633380215658696,0.8633380215658696,0.9621659634317862,0.9879278012189405,0.9961556493202063,0.8274027191748711,0.9614861697140178,-0.9879278012189405,0.8478199718706048
PILSM,0.9879278012189405,-0.027684013127051103,0.6872245663384904,0.8437412095639943,0.9703000468823253,0.9879278012189405,0.9752695733708391,1,1,1,-0.09758556024378809,0.9763713080168777,0.9914205344585092,0.8633380215658696,0.8683075480543835,-0.06697140178152836,0.9914205344585092,0.8633380215658696,0.8633380215658696,0.8633380215658696,0.9621659634317862,0.9879278012189405,0.9961556493202063,0.8274027191748711,0.9614861697140178,-0.9879278012189405,0.8478199718706048
